access	[ˈækˌsɛs]	v. 获取 n. 接近，入口
renew	[rɪˈnu]	v. 〔中止后〕重新开始，继续
takeoff	[ˈteɪˌkɔf]	n. 起飞
innocent	[ˈɪnəsənt]	adj. 无辜的；天真的
currently	[ˈkərəntli]	adv. 当前；一般地
dropout	[ˈdrɑˌpaʊt]	n. 辍学者
replace	[ˌriˈpleɪs]	v. 代替
sightseeing	[ˈsaɪtˈsiɪŋ]	n. 观光
honor	[ˈɑnər]	n. 荣誉；崇敬，敬重，敬意
imitate	[ˈɪməˌteɪt]	v. 模仿
installment	[ˌɪnˈstɔlmənt]	n. 分期付款
personality	[ˌpərsəˈnælɪti]	n. 个性，性格
headquarter	[ˈhɛdˌkɔrtər]	v. 设立总部，在…设立总部
ingredient	[ˌɪnˈgridiənt]	n. 成分，原料
revenue	[ˈrɛvəˌnu]	n. 收入
sensitive	[ˈsɛnsɪtɪv]	adj. 敏感的
particular	[ˌpɑˈtɪkjələr]	adj. 特别的，特指的；讲究的；挑剔的，吹毛求疵的
tumor	[ˈtumər]	n. 瘤
consequence	[ˈkɑnsəkwəns]	n. 结果，成果
explicitly	[ɪkˈsplɪsətli]	adv. 直接地，明确地
sway	[sweɪ]	v. 影响
technical	[ˈtɛknɪkəl]	adj. 技术的
expert	[ˈɛkspərt]	adj. 熟练的，内行的
harm	[hɑrm]	n. 损害；危害；伤害 v. 伤害，损害〔某事物〕
imaginary	[ˌɪˈmæʤəˌnɛri]	adj. 虚构的，想象的
contaminate	[kənˈtæməˌneɪt]	v. 污染，弄脏
soar	[sɔr]	v. 猛增
solely	[ˈsoʊəli]	adv. 单独地，唯一地
tremendous	[trɪˈmɛndəs]	adj. 巨大的
civilization	[ˌsɪvəlɪˈzeɪʃən]	n. 文明
tough	[təf]	adj. 困难的
gift	[gɪft]	n. 礼物；天赋
scale	[skeɪl]	n. 规模；比例
injure	[ˈɪnʤər]	v. 使受伤
embrace	[ɪmˈbreɪs]	v. 拥抱；欣然接受，乐意采纳 (新思想、意见、宗教等)
seldom	[ˈsɛldəm]	adv. 很少，罕见
performance	[pərˈfɔrməns]	n. 演出；履行；表现
violate	[ˈvaɪəleɪt]	v. 违反
associate	[əˈsoʊʃiˌeɪt]	v. 把……联系起来；交往；
privacy	[ˈpraɪvəsi]	n. 隐私
choke	[ʧoʊk]	v. 使窒息
capable	[ˈkeɪpəbəl]	adj. 能干的，有能力的
appeal	[əˈpil]	n. 呼吁 v. 吸引；呼吁；恳请，恳求
careless	[ˈkɛrlɛs]	adj. 粗心的
hit	[hɪt]	n. (唱片、电影或戏剧的) 成功；命中，击中
swallow	[sˈwɔloʊ]	v. 咽下，吞下
consult	[kənˈsəlt]	v. 咨询
preservation	[ˌprɛzərˈveɪʃən]	n. 保存，保留
distance	[ˈdɪstəns]	n. 距离
plastic	[ˈplæstɪk]	adj. 塑料的
predict	[prɪˈdɪkt]	v. 预言，预测，预告
submit	[səbˈmɪt]	v. 提交
entertainment	[ˌɛnərˈteɪnmənt]	n. 娱乐
critical	[ˈkrɪtɪkəl]	adj. 批评的，爱挑剔的
transaction	[trænˈzækʃən]	n. 交易，业务，事务
via	[ˈviə]	prep. 通过
insist	[ˌɪnˈsɪst]	v. 主张，坚持
distract	[dɪˈstrækt]	v. 分心
subdivision	[ˈsəbdɪˌvɪʒən]	n. 分支; 分部
yield	[jild]	v. 产生，得出〔结果、答案或资料 n. 产量
misunderstand	[ˌmɪsəndərˈstænd]	v. 误解
detail	[ˈditeɪl]	n. 细节
immeasurable	[ˌɪˈmɛʒərˌæbəl]	adj. 无法估量的
convincing	[kənˈvɪnsɪŋ]	adj. 令人信服的
donate	[ˈdoʊˌneɪt]	v. 捐赠
compare	[kəmˈpɛr]	v. 比较，对照
item	[ˈaɪtəm]	n. 〔尤指清单上、一群或一组事物中的〕一项，一件，一条
concrete	[ˈkɑnkrit]	adj. 具体的
govern	[ˈgəvərn]	v. 管理，支配
classify	[ˈklæsəˌfaɪ]	v. 把…分类，把…分级
restrict	[riˈstrɪkt]	v. 限制，限定
establish	[ɪˈstæblɪʃ]	v. 建立，创办，设立
counseling	[ˈkaʊnsəlɪŋ]	n. 咨询服务
majority	[məˈʤɔrəti]	n. 多数
contact	[ˈkɑnˌtækt]	n. 联系，接触 v. 〔写信、打电话〕联系〔某人〕
virtual	[ˈvərʧuəl]	adj. 虚拟的
simplicity	[sɪmˈplɪsɪti]	n. 简单
enrollment	[ɛnˈroʊlmənt]	n. 入学人数
programming	n. 〔计算机的〕程序编写，程序设计；程序；；〔电视或广播〕节目；电视[广播]节目策划，编排
device	[dɪˈvaɪs]	n. 装置，设备
previous	[ˈpriviəs]	adj. 之前的
alter	[ˈɔltər]	v. 改变
coach	[koʊʧ]	n. 教练 v. 当…的教练，训练，培训
crisis	[ˈkraɪsəs]	n. 危机
interconnect	[ˌɪntərkəˈnɛkt]	v. 相互联系
enrich	[ɪnˈrɪʧ]	v. 丰富；使富有
poll	[poʊl]	n. 民意调查
consent	[kənˈsɛnt]	v. 允许，同意 n. 同意，赞同
utility	[juˈtɪləti]	n. 公用事业〔如煤气、电力等〕
poisonous	[ˈpɔɪzənəs]	adj. 有毒的，有害的
collision	[kəˈlɪʒən]	n. 冲突，抵触
rank	v. 具有…等级[地位] n. 衔，阶层
fundamentally	[ˌfəndəˈmɛnəli]	adv. 根本上
inflation	[ˌɪnˈfleɪʃən]	n. 通货膨胀
secure	[sɪˈkjʊr]	v. 确保……安全
interpret	[ˌɪnˈtərprət]	v. 解释
criticize	[ˈkrɪtɪˌsaɪz]	v. 批评；评论
arrest	[ərˈɛst]	v. 逮捕
afford	[əˈfɔrd]	v. 负担得起
implementation	[ˌɪmpləmɛnˈteɪʃən]	n. 实现，履行
initiate	[ˌɪˈnɪʃiˌeɪt]	v. 开始，发起
enable	[ɪˈneɪbəl]	v. 使能够……
narrow	[ˈnɛroʊ]	adj. 狭窄的
overcharge	[ˈoʊvərˌʧɑrʤ]	v. 向……多收费
shortcut	[ˈʃɔrtˌkət]	n. 捷径，近路
leisure	[ˈlɛʒər]	n. 悠闲，空闲
original	[ərˈɪʤənəl]	adj. 原始的，最初的
density	[ˈdɛnsɪti]	n. 密度
sphere	[sfɪr]	n. 球体；范围
margin	[ˈmɑrʤən]	n. 页边的空白，页边，白边
department	[dɪˈpɑrtmənt]	n. 部门
desire	[dɪˈzaɪər]	n. 渴望，欲望
legend	[ˈlɛʤənd]	n. 传奇
dictator	[ˈdɪkteɪtər]	n. 独裁者；专制者
diversity	[dɪˈvərsɪti]	n. 多样性；差异
quit	[kwɪt]	v. 放弃
outgoing	[ˈaʊtˌgoʊɪŋ]	adj. 开朗的；外向的；外出的
solution	[səˈluʃən]	n. 解决，解答，解决办法
revenge	[riˈvɛnʤ]	n. 报仇
reverse	[rɪˈvərs]	n. 相反情况；正相反 a. 相反的
enroll	[ɪnˈroʊl]	v. 注册
logically	[ˈlɑʤɪkli]	adv. 合乎情理地，符合逻辑地
rental	[ˈrɛntəl]	n. 租金
component	[kəmˈpoʊnənt]	n. 成分
quotation	[kwoʊˈteɪʃən]	n. 引文
faith	[feɪθ]	n. 信任
invalid	[ˌɪnˈvæləd]	adj. 无效的
invade	[ˌɪnˈveɪd]	v. 侵入，侵略
separately	[ˈsɛpərətli]	adv. 分别地，另行
strain	[streɪn]	v. 扭伤，拉伤
accessible	[ækˈsɛsəbəl]	adj. 易接近的
lap	[læp]	n. 〔坐着时的〕大腿部
character	[ˈkɛrɪktər]	n. 角色
widespread	[ˈwaɪdˈsprɛd]	adj. 普遍的，广泛的
rearrange	[riəreɪnʤ]	v. 重新安排
hospitalize	[ˈhɔˌspɪtəˌlaɪz]	v. 就医
avail	[əˈveɪl]	v. 有益, 有帮助
instant	[ˈɪnstənt]	adj. 立即的；紧急的；速溶的，方便的
democratic	[ˌdɛməˈkrætɪk]	adj. 民主的
barely	[ˈbɛrli]	adv. 仅仅，几乎不
vanish	[ˈvænɪʃ]	v. 消失
caregiver	[ˈkɛrˌgɪvər]	n. 照料者
harsh	[hɑrʃ]	adj. 严酷的
reliable	[rɪˈlaɪəbəl]	adj. 可靠的，可信赖的
massive	[ˈmæsɪv]	adj. (尺寸、数量、规模) 非常大的
alcohol	[ˈælkəˌhɑl]	n. 酒精
pregnant	[ˈprɛgnənt]	adj. 怀孕的
adapt	[əˈdæpt]	v. 适应于
bogus	[ˈboʊgəs]	adj. 假冒的
slippery	[sˈlɪpəri]	adj. 滑的；模糊的，不明确的，
current	[ˈkɑrənt]	adj. 当前的
overwhelm	[ˌoʊvərˈwɛlm]	v. 压倒，战胜
stressful	[ˈstrɛsfəl]	adj. 充满著压力的，充满著紧张的
toothache	[toothache*]	n. 牙痛，牙疼
eliminate	[ɪˈlɪməˌneɪt]	v. 消除
terminal	[ˈtərmənəl]	n. 终点站，航空站
severe	[səˈvɪr]	adj. 严重的
immobile	[ˌɪˈmoʊˌbil]	adj. 稳定的，不变的
diplomatic	[ˌdɪpləˈmætɪk]	adj. 外交的
candidate	[ˈkænədɪt]	n. 申请求职者；投考者；候选人
fund	[fənd]	n. 基金，储备； v. 提供资金
complacency	[kəmˈpleɪsənsi]	n. 自满，满足
delight	[dɪˈlaɪt]	n. 高兴
inadequate	[ˌɪˈnædəkˌweɪt]	adj. 不足的，不够的
steady	[ˈstɛdi]	adj. 稳定的，逐步的
accurate	[ˈækjərət]	adj. 精确的，准确的
identification	[aɪˌdɛntəfəˈkeɪʃən]	n. 身份证明；鉴定，识别；认同；
previously	[ˈpriviəsli]	adv. 事先
identical	[aɪˈdɛntɪkəl]	adj. 相同的
retirement	[rɪˈtaɪərmənt]	n. 退休
commit	[kəˈmɪt]	v. 犯罪；承担义务
element	[ˈɛləmənt]	n. 要素；元素
assess	[əˈsɛs]	v. 评价
hire	[haɪər]	v. 雇佣
represent	[ˌrɛprɪˈzɛnt]	v. 代表
overestimate	[ˌoʊvərˈɛstəˌmeɪt]	v. 对（数量）估计过高
supervision	[ˌsupərˈvɪʒən]	n. 监督
expose	[ɪkˈspoʊz]	v. 暴露
seemingly	[ˈsimɪŋli]	adv. 表面上看
assignment	[əˈsaɪnmənt]	n. 作业
preference	[ˈprɛfərəns]	n. 偏爱
energetic	[ˌɛnərˈʤɛtɪk]	adj. 精力充沛的
application	[ˌæpləˈkeɪʃən]	n. 申请；应用
moral	[ˈmɔrəl]	adj. 精神上的, 道德的
dispute	[dɪˈspjut]	n. 辩论，争论 v. 辩论，争论
influence	[ˈɪnfluəns]	n. 影响 v. 影响
illegal	[ˌɪˈligəl]	adj. 非法的
esteem	[ɛˈstim]	n. 自尊
abundant	[əˈbəndənt]	adj. 大量的，丰富的
survey	[ˈsərˌveɪ]	v. 调查；审视，仔细考虑 n. 调查；勘测，测量，测绘
extensively	[ɪkˈstɛnsɪvli]	adv. 广泛地
deserve	[dɪˈzərv]	v. 值得
crash	[kræʃ]	v. 坠落;坠毁;撞击 n. 〔汽车的〕撞车事故；〔飞机的〕坠毁，失事
affirm	[əˈfərm]	v. 断言，声明
reputation	[ˌrɛpjəˈteɪʃən]	n. 名气，名声，名誉
degree	[dɪˈgri]	n. 程度
fade	[feɪd]	v. 逐渐消失
competitor	[kəmˈpɛtɪtər]	n. 竞争者，对手
confuse	[kənfˈjuz]	v. 使混淆，迷惑
task	[tæsk]	n. 任务，工作
lessen	[ˈlɛsən]	v. 减少
admit	[ədˈmɪt]	v. 承认；容许
bow	[boʊ]	v. 鞠躬
division	[dɪˈvɪʒən]	n. 除法；部门
literature	[ˈlɪtərəʧər]	n. 文学，文学作品；文献；文献
consultant	[kənˈsəltənt]	n. 顾问
penalty	[ˈpɛnəlti]	n. 惩罚
comment	[ˈkɑmɛnt]	n. 评论
major	[ˈmeɪʤər]	adj. 主要的 v. 主修
option	[ˈɔpʃən]	n. 选择
socialize	[ˈsoʊʃəˌlaɪz]	v. 交往，联谊
bureau	[ˈbjʊroʊ]	n. 局
budget	[ˈbəʤɪt]	n. 预算 v. 编预算
pop	[pɑp]	v. 突然出现，跳出
position	[pəˈzɪʃən]	n. 职位
unaffordable	[ənəˈfɔrdəbəl]	adj. 买不起的，负担不起的
function	[ˈfəŋkʃən]	n. 功能 v. 运行
perceive	[pərˈsiv]	v. 察觉
reserve	[rɪˈzərv]	v. 留出，预定
innovation	[ˌɪnəˈveɪʃən]	n. 改革，创新
alert	[əˈlərt]	v. 提醒；使〔某人〕意识到 adj. 机警的
cautious	[ˈkɔʃəs]	adj. 谨慎的
document	[ˈdɑkjəmɛnt]	n. 文件
characterize	[ˈkɛrɪktərˌaɪz]	v. 以……特点
achieve	[əˈʧiv]	v. 完成，实现
address	[ˈæˌdrɛs]	v. 解决
inspiration	[ˌɪnspərˈeɪʃən]	n. 灵感
agency	[ˈeɪʤənsi]	n. 机构
formulate	[ˈfɔrmjəˌleɪt]	v. 规定，制定
fate	[feɪt]	n. 命运
surf	[sərf]	v. 冲浪
steer	[stɪr]	v. 驾驶
structure	[ˈstrəkʧər]	n. 结构
architect	[ˈɑrkəˌtɛkt]	n. 建筑师
frame	[freɪm]	n. 框架
amaze	[əˈmeɪz]	v. 使吃惊
affirmation	[ˌæfərˈmeɪʃən]	n. 断言，肯定
intelligent	[ˌɪnˈtɛləʤənt]	adj. 有智慧的，聪明的，悟性强的
code	[koʊd]	n. 代码，密码
burden	[ˈbərdən]	n. 重担，负担
absorb	[əbˈzɔrb]	v. 吸收（液体、气体等）
instruction	[ˌɪnˈstrəkʃən]	n. 用法说明；操作指南；命令，指示
admission	[ədˈmɪʃən]	n. 承认；准许进(加)入；入场费
additional	[əˈdɪʃənəl]	adj. 额外的
prejudice	[ˈprɛʤədɪs]	n. 偏见 v. 使有偏见，使有成见
process	[ˈprɔˌsɛs]	n. 过程，进程；；工序；工艺流程 v. 处理
elegant	[ˈɛləgənt]	adj. 优雅的
hospitable	[ˈhɑˈspɪtəbəl]	adj. 热情友好的
refreshing	[rɪˈfrɛʃɪŋ]	adj. 恢复活力的
ensure	[ɪnˈʃʊr]	v. 确保
frighten	[ˈfraɪtən]	v. 使惊恐，使恐慌
civilized	[ˈsɪvəˌlaɪzd]	adj. 文明的
approval	[əˈpruvəl]	n. 批准，认可；赞成，同意
publicize	[ˈpəblɪˌsaɪz]	v. 宣布
resident	[ˈrɛzɪdənt]	n. 居民
considerate	[kənˈsɪdərət]	adj. 体贴的；考虑周到的
twist	[twɪst]	v. 扭曲，使弯曲
citizen	[ˈsɪtɪzən]	n. 市民，城镇居民；公民
stake	[steɪk]	n. 风险
keenly	[ˈkinli]	adv. 敏锐地
superficial	[ˌsupərˈfɪʃəl]	adj. 肤浅的
flexibility	[ˌflɛksəˈbɪləti]	n. 灵活性；适应性
favorable	[ˈfeɪvərəbəl]	adj. 赞同的
competent	[ˈkɑmpətɪnt]	adj. 胜任的，有能力的
emotional	[ˈiˌmoʊʃənəl]	adj. 情绪(上)的，情感(上)的；激起感情的； 敏感的；情绪激动的〔尤指哭泣〕
pioneer	[ˌpaɪəˈnɪr]	v. 开拓，开发
sustain	[səˈsteɪn]	n. 维持
gloomy	[ˈglumi]	adj. 阴沉的，沮丧的
convince	[kənˈvɪns]	v. 使相信
profitable	[ˈprɑfətəbəl]	adj. 有利可图的，有益的
routinely	[ruˈtinli]	adv. 例行公事地
phenomenon	[fəˈnɑməˌnɑn]	n. 现象
variety	[vərˈaɪəti]	n. 多样
gum	[gəm]	n. 牙龈
criticism	[ˈkrɪtɪˌsɪzəm]	n. 批评
fatal	[ˈfeɪtəl]	adj. 致命的，攸关的
delightful	[dɪˈlaɪtfəl]	adj. 高兴的
tedious	[ˈtidiəs]	adj. 单调沉闷的
flexible	[ˈflɛksəbəl]	adj. 灵活的
considerably	[kənˈsɪdərəbli]	adv. 相当地，非常地
efficiently	[ɪˈfɪʃəntli]	adj. 有效地
appearance	[əˈpɪrəns]	n. 外表, 外观；出现
album	[ˈælbəm]	n. 粘贴簿，集邮簿，册
optimistic	[ˌɑptɪˈmɪstɪk]	adj. 乐观的
clue	[klu]	n. 线索
grief	[grif]	n. 悲伤
synthetic	[sɪnˈθɛtɪk]	adj. 合成的，人造的
resistance	[rɪˈzɪstəns]	n. 抵御，抵抗；抵抗力
install	[ˌɪnˈstɔl]	v. 安装
pledge	[plɛʤ]	n. 保证，誓言
unique	[juˈnik]	adj. 独特的，唯一的
stock	[stɑk]	n. 股票；库存
disadvantage	[ˌdɪsədˈvænɪʤ]	n. 不利情况，缺点
compensate	[ˈkɑmpənˌseɪt]	v. 弥补，补偿
rescue	[ˈrɛskju]	v. 营救，援救
monitor	[ˈmɑnətər]	v. 监控；监听
refusal	[rɪfˈjuzəl]	n. 拒绝
exile	[ˈɛkˌsaɪl]	n. 流放，放逐
encourage	[ɪnˈkərəʤ]	v. 鼓励
concept	[ˈkɑnsɛpt]	n. 观点，观念
render	[ˈrɛndər]	v. 给予
trait	[treɪt]	n. 性格
feature	[ˈfiʧər]	n. 特点
reframe	[reframe*]	v. 再构造(图画、照片等)
identify	[aɪˈdɛntəˌfaɪ]	v. 认出，识别；视为
impose	[ˌɪmˈpoʊz]	v. 强加
snack	[snæk]	n. 零食，小吃
require	[ˌrikˈwaɪər]	v. 要求，命令
donation	[doʊˈneɪʃən]	n. 捐赠
equal	[ˈikwəl]	adj. 相等的，平等的
rare	[rɛr]	adj. 罕有的，少见的
specify	[ˈspɛsəˌfaɪ]	v. 指定，具体说明
constant	[ˈkɑnstənt]	adj. 不断的，持续的
standardize	[ˈstændərˌdaɪz]	v. 使标准化
consume	[kənˈsum]	v. 消费，消耗
status	[ˈstætəs]	n. 地位
complement	[ˈkɑmpləmənt]	v. 补充
lengthy	[ˈlɛŋθi]	adj. 长的，漫长的
embarrassed	[ɪmˈbɛrəst]	adj. 尴尬的；窘迫的
rational	[ˈræʃənəl]	adj. 神智清楚的
distant	[ˈdɪstənt]	adj. 遥远的
homemaker	[ˈhoʊmˌmeɪkər]	n. 主妇
exception	[ɪkˈsɛpʃən]	n. 例外
sustainable	[səˈsteɪnəbəl]	adj. 可持续的
trigger	[ˈtrɪgər]	v. 引发，引起
intend	[ˌɪnˈtɛnd]	v. 打算
spread	[sprɛd]	v. 扩散；传播
estimate	[ˈɛstəˌmeɪt]	v. 估计
technique	[tɛkˈnik]	n. 技巧，手艺；技术，技能
include	[ˌɪnˈklud]	v. 包含
academic	[ˌækəˈdɛmɪk]	adj. 学术的
distinctive	[dɪˈstɪŋktɪv]	adj. 独特的，与众不同的
consist	[kənˈsɪst]	v. 由……组成
bid	[bɪd]	n. 出价，投标 v. 出价，投标
benefit	[ˈbɛnəfɪt]	v. 有益于，有助于
downsize	[ˈdaʊnˌsaɪz]	v. 裁员
avoid	[əˈvɔɪd]	v. 避免
gender	[ˈʤɛndər]	n. 性别
interracial	[ˌɪntərˈreɪʃəl]	adj. 种族间的
complaint	[kəmˈpleɪnt]	n. 抱怨; 投诉
